trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693595189.79632780,0,0,0,0,0,0,0,0,0
0,0.08386069417337394,0.06467575262064584,1693595190.1412609,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.2621970579802091,-0.24055888376486867,1693595190.390773,10,0.00020688903261699735,0.9106145615289158,1.616155440846263e-05,0.553828339967984,0.7975260321031201,0.0019868890756545563,0.0001541964181575402,2.259844168955883e-05
2,-0.23909980360141891,-0.21896669233327426,1693595190.5881078,7,0.004964077342930281,0.8679410531743451,0.003892082702672994,0.7894293001130785,0.8226775479477969,79.8440786425614,1.579726738965914,0.0001355218583033099
3,-0.08210918785894772,-0.0736778875354911,1693595190.7839158,10,511.53178360641203,0.5272372539111774,0.039190985355431786,0.9010852812122376,0.8682033219057195,0.12340066719269657,0.0025666611856050726,1.7710945384076957e-07
4,-0.07778842204767566,-0.07100932275070804,1693595191.0929067,11,0.0017471568028661472,0.60847558016178,0.0385815109988853,0.9971037192109689,0.6278070278004175,0.05165285359469164,0.00977370285806616,0.14904638792452585
5,-0.25584648359059425,-0.23463793894523555,1693595191.4659662,11,0.0003745648251837736,0.626817048735698,0.001028874835319476,0.8732553585924925,0.8620352837058441,0.00011510069886759143,78.30662075108606,0.0003198842131774002
6,-0.25569172166544085,-0.23447689011120754,1693595191.6740139,5,16.794685678451557,0.5412292766558542,0.0009814418977192234,0.8854404831539399,0.8823754917502336,6.895945739139864e-06,7.859988374814067e-07,0.0005158336235965756
7,-0.25948453052474374,-0.23802686685236485,1693595191.8930852,4,35.608654863991426,0.5945535577674321,0.0004523976815718186,0.9221142104112845,0.807512017161188,7.1226367698469595,58.28143066398067,2.339300044439826
8,-0.2556930478669117,-0.2345054924393566,1693595192.1729462,2,1.0948045909466755,0.7380544366366721,0.0010490188045599355,0.8709418437745046,0.9129666445845919,0.06796703190789989,2.4701086408306116e-07,0.10672116905411437
9,-0.2561539893197844,-0.23488528406660536,1693595192.3919473,1,3.1963267673250307e-06,0.9623968824775981,0.0010605039411405292,0.5741457663004716,0.8411435653372918,4.31407317843011e-07,0.030356549852627167,3.2820215754536146e-06
10,-0.2623085297361947,-0.24066341563545546,1693595192.5505393,1,29066.571219776517,0.5331102404067158,0.0036702946480054077,0.6706482956099604,0.8300049093226989,2.781463538051264,0.010931142782007849,0.007449667849644017
11,-0.24514995126481187,-0.2246757333433691,1693595192.7216017,2,17.21291248759736,0.6022616289225664,0.0028303423277348657,0.5183042652180054,0.6577017877943855,4.268782927496999,0.0038429628154069964,0.002931421459371289
12,-0.2620359522997504,-0.2404092629586787,1693595192.9762082,5,583.4946874665234,0.6381752297163195,4.249048696057968e-05,0.7813905397463381,0.6336695026869719,0.5627937723535171,6.223912170075308e-07,0.6800905078743044
13,-0.13748148303915064,-0.1252864344927509,1693595193.3129938,7,3.489276535982971e-08,0.7806375660958007,0.02191233576995985,0.9691963033332922,0.8930029294059816,0.3193777928174097,0.0009343503623330623,2.6750075771478504e-08
14,-0.219037233978018,-0.20044034078571915,1693595194.5276227,9,1.5035181477802524e-08,0.7750205928575524,0.006823133310643643,0.5564591673935733,0.5313881199156321,0.005587817965769761,0.0007159004870904445,1.0332870139840878e-05
15,-0.2622414266788704,-0.24060063474957816,1693595194.6817515,1,1.7402986134178882,0.5621678416002718,1.1429552374529074e-05,0.6383332943392657,0.6507727700470807,6.35588916101779e-07,4.674978638871733e-08,0.6199255489365184
16,-0.26111219412177067,-0.23954540483406972,1693595194.8650992,5,1.5688920668494227e-05,0.7618860939280006,0.00018833388683489247,0.9259542309022136,0.7417517890451639,0.017041174019549653,53.79291125469704,3.52756719693473e-05
17,-0.2623085297361947,-0.24066341563545546,1693595195.0140297,3,52878.5421386361,0.7935372105004064,0.8098543955236723,0.984333040157722,0.8525519678606941,1.5626369515082518e-08,0.013437048803244206,3.1303412949340817e-06
18,-0.018158321629448526,-0.016544281136230632,1693595195.1742523,2,0.0005772909559535582,0.60004675255711,0.06798405551388464,0.9670905825414091,0.5132011990294695,3.636101878760995e-06,4.591773443091014e-06,2.6501907511039746e-07
19,-0.2621938198111826,-0.24055731751544873,1693595195.4343145,11,1.655599870160896e-05,0.6780930824209572,1.7566912590118116e-05,0.6190653356052025,0.9414123777813526,44.08899112082201,0.03633107439391403,9.302743966447013e-06
20,-0.26100584266290117,-0.2394471925345658,1693595195.5853972,1,1728.519582762771,0.5775704487103762,0.00022271037545950494,0.7741023253554689,0.6261387200222701,2.7975693185838946,0.0010523224253606543,0.0007029006296931482
21,-0.2623085297361947,-0.24066341563545546,1693595196.7311027,10,7915.694318626529,0.6208138519025436,1.2411791205529076e-05,0.8351448480873862,0.6352817041932566,1.3901591270792201e-08,9.360604881185899e-08,0.00015430395375027987
22,-0.2507676844012383,-0.22990052870551958,1693595196.9461286,2,4.922174068854004e-06,0.8725277328934364,0.0018986284217536815,0.556754817293961,0.6076618324859224,20.064694038528067,1.1993542527169028e-08,0.026225174958837742
23,0.02355252404759378,0.023582494628295647,1693595197.1795976,8,6.970543550085368,0.7890767322131821,0.08368373843538097,0.9109235911248456,0.8234146676706116,6.257434443761297e-07,0.18311757822309468,7.032680339593428e-06
24,0.007257946153086281,-0.032079772424770336,1693595197.460676,10,0.2583288429398626,0.5426338109335258,0.3587244527847742,0.7312279556020749,0.971451850628079,2.5405211865898273e-08,1.1872705517636259e-07,0.36074130918753755
25,-0.25508284865447983,-0.23386922366942975,1693595197.7455814,1,0.007418583905144101,0.9080429159801637,0.0012473510465388644,0.5949795612276678,0.9217052927372111,1.1815801500011275e-07,7.589023267509391e-06,1.4780457739266244e-06
26,0.013212221228978471,0.013039940997859767,1693595197.9346695,6,0.00014278251598075288,0.9545470878269069,0.08474945007555536,0.8528753422783437,0.569951725170373,0.0131284468905157,3.2730321390802146,17.28560766221996
27,-0.17340314379833566,-0.15811746400118198,1693595198.2235138,8,2.326661261599963e-05,0.6383998372788455,0.015044922651352351,0.8622030544288231,0.6527936269860974,0.06020407386824205,0.0011612732405218153,1.9672408378692139
28,-0.2623085297361947,-0.24066341563545546,1693595198.6068847,8,6781.3445986759425,0.559969810345208,0.15800312075141654,0.9741349278525716,0.7868104659564026,1.1001458726314956e-08,2.1633303402496904e-08,0.00013324782903046417
29,-0.023052772841286373,-0.01864048101608895,1693595198.8054411,6,0.01619845600984197,0.8407104272352535,0.059491808702933135,0.9103923598641235,0.6731545767463865,0.014109159711962332,8.485422354448212e-05,0.1792489151239958
30,-0.172669806151325,-0.15750599423418654,1693595199.030428,7,0.5396609149459994,0.6938683086569026,0.014869681961462579,0.9338962382178824,0.8258468879216299,1.9317023031683205e-07,7.71583258529255e-08,0.059520117682862785
31,0.08013882554890772,0.06700908111111858,1693595199.208293,4,0.00012343618873014752,0.9450268199617958,0.20872616223346632,0.9028311608547521,0.678661630831189,0.025574818205113745,0.0097347650361151,2.266854045939447e-06
32,-0.2623085297361947,-0.24066341563545546,1693595199.365669,7,91429.47416992988,0.5262373184980771,0.00015402888422655662,0.665493383462392,0.9004670951190326,0.00027339741657758334,4.238723918773633e-08,1.5225369375911997e-05
33,-0.08011297573581677,-0.07161564794355191,1693595199.568313,10,39.79369568466808,0.6394174525275425,0.04395423897111481,0.6598467200213758,0.5762706915141783,70.59662325276108,4.133333747908084e-06,0.012197535573699517
34,-0.2560799942764782,-0.23485033686795131,1693595199.771419,11,2.284939223252893,0.7133897651386024,0.0009684560126516077,0.5244532976835385,0.5406233013404471,0.0003212217044517398,16.718353335321922,2.15622725045812e-06
35,-0.25991683319682934,-0.2384199898774031,1693595199.9725885,10,302.65725199139007,0.5870770127410873,0.0003646593212080371,0.7141986251072651,0.9296368451063846,0.021956310200823965,1.7698691090710654,0.0009343743395168602
36,-0.18855430225526715,-0.1724708885141213,1693595200.3740559,7,0.0079590098114786,0.6291358365752088,0.012350460223264605,0.7877087604682476,0.9337066440655288,17.61026755446857,0.005514707941190219,0.08726209752131237
37,0.08545110760033503,0.06533292044985461,1693595200.6459377,5,6.219113670011993,0.9991060303323411,0.503397523018814,0.5706185316724068,0.9690841597402556,2.4354306911451456e-08,1.785856946645935e-08,5.997742570957685e-07
38,-0.2623085297361947,-0.24066341563545546,1693595200.8102534,4,63345.36280439975,0.9717307239150639,0.0660355561128346,0.811545041193418,0.9844417900198564,0.005372330084052167,1.3557994654830011e-06,2.1604171661835295e-07
39,0.031499184782286305,0.02680009771088987,1693595201.0559282,9,0.07163709389263757,0.9086973006096526,0.09316553432393217,0.8350885018787684,0.8883790904251555,0.07611117403198953,0.00019393117304921824,2.00193457097954
40,0.08587834607323908,0.06736731712337718,1693595201.2764795,11,127.86253877811869,0.5429248287528488,0.5602700456017242,0.7385628505052217,0.9427451183599969,7.072185416616517e-08,24.11685994996752,1.4078916992346503e-05
41,-0.26159918126190274,-0.2400004244072702,1693595201.6669877,5,8.117089747066688,0.5454071234795544,0.00010966681330304933,0.7915055571376022,0.6926258059229711,1.1587643141434305e-07,1.2613910973363593e-08,9.149559881768152
42,0.07694285790308408,0.04810056927465156,1693595201.8762867,8,0.0001625970082125425,0.9430334180007593,0.6856642760156157,0.5407705666645917,0.6302401511305149,0.0019802294075364603,16.087258496706447,2.140739090901658e-06
43,-0.261616071067019,-0.24000597522573375,1693595202.3470774,11,5183.986104986745,0.6691030585021144,0.00013371418633837187,0.5916780769803633,0.527488745643103,36.37470619179735,2.938454272727776e-07,37.82099219645842
44,0.04087847129087685,0.03653944346542881,1693595202.5693016,4,5.9027786998238085e-08,0.9096156696027029,0.10399502890164863,0.73166221286588,0.8861773136824873,0.3077458178224892,0.0003213080090859037,6.818901152180964e-06
45,-0.2623085297361947,-0.24066341563545546,1693595203.480953,2,6777.8117152080085,0.5395528738112441,0.04249170340853915,0.5388411780751913,0.8349777167917618,4.008076980568409e-08,1.2958053449627322e-07,0.0005668001668288486
46,0.067304608832495,0.05475255798023937,1693595203.6425161,1,2.6024903608072653e-08,0.8198086541134928,0.2991378464127315,0.7416163032586283,0.9188302592704514,0.12299113229296953,21.394359824354378,55.40618293545649
47,-0.2623085297361947,-0.24066341563545546,1693595203.8157194,7,19905.787559004988,0.8526725908193242,0.002105573263438986,0.957512780610905,0.7897975471979657,2.4660146373422418e-06,7.852530486676065e-05,0.0001664021789937373
48,-0.13901632138350606,-0.12625663058514225,1693595204.3872163,2,2.113476194798847e-08,0.5263056755367269,0.024650889821192963,0.6269377785080639,0.5760274884455598,9.458675697254109e-07,1.5234668103090865,8.272083430336034
49,-0.24403489234390752,-0.22353968130713397,1693595204.818792,5,42.75150641652089,0.7875157419120089,0.002770612284829986,0.8221997751743761,0.9741543890325559,1.0578645141192367,0.0001271421623907777,3.26662716483991e-06
50,-0.25477867812859123,-0.23358490790116182,1693595204.983474,1,6.11807237398679e-05,0.989601835665596,0.0013165115810755278,0.7700419258033906,0.5318348412926115,2.643077793932204e-07,71.77101282656756,0.0022765290962903162
51,-0.2413572483952655,-0.22116040698045536,1693595205.1669717,3,2.2140433024586312,0.8634242380927853,0.0033156383768388237,0.6644137864223669,0.8610993259681783,2.0045634795290163e-07,0.1602993178939098,0.00030023700498406765
52,-0.2598787673484162,-0.23838436950076702,1693595205.5343978,6,1.4075721904799967,0.9297968450765992,0.0003770379382082018,0.8480577986309537,0.558293341101906,0.00024302770423777976,0.14851622754028598,7.929079221881376
53,-0.2587148112269213,-0.23729644472399092,1693595206.0516012,7,1.7138606792151638,0.7661203590598762,0.0005355448638328435,0.9228842767651508,0.787126997342708,4.0690238870904295e-06,0.9356565530451105,2.2136383803240087
54,-0.0726122817569026,-0.06553979437512059,1693595206.364397,5,6.838865544719896,0.5466338048159,0.04100638472777924,0.6682370475175408,0.5112712268035742,0.1124992456188449,0.003037341247990108,1.9172567460317185
55,-0.2623085297361947,-0.24066341563545546,1693595206.8547244,2,81600.77596517763,0.666260281975895,4.6744554734998366e-05,0.5211872181299246,0.660427199293755,1.2556989953607655e-06,0.005536069273353583,38.35928750818833
56,-0.2608269597626931,-0.23928106621111267,1693595207.2468872,3,0.0001899314224955003,0.633058414435275,0.0002266281493230812,0.84354679349418,0.9466127445082158,0.006958490043131501,0.0001015706811119482,0.00018093058344497069
57,0.05380625721328569,0.03575111720456303,1693595207.4416623,7,9.356168922592791e-05,0.6288467769640662,0.3544814895245388,0.755752494115576,0.5597933377118298,0.0050799554148648705,3.159686113421905e-06,1.132271131011582e-08
58,-0.19138697443648578,-0.17442393178863114,1693595207.6300685,7,0.0004535154987472,0.8416413844406452,0.01174825000474967,0.5868584995136316,0.6506799557626124,0.1441097626745792,0.0002026991822483882,2.224473202823469e-07
59,-0.22733962501240645,-0.208090271531727,1693595207.7843382,2,27.151190752576312,0.8122261698280595,0.005984504424262923,0.527891948813406,0.6942406340339617,0.00028663766547244843,0.006973906331424901,0.0913845524883088
60,-0.2558830166424586,-0.23465956133494736,1693595207.9829197,8,0.49646276090150904,0.6353611721113008,0.0011003858016510333,0.8878189805968641,0.7327888474348033,0.00010947571419306172,3.509945886568593,89.32366428221508
61,-0.2619283479309362,-0.24030871579809898,1693595208.1567357,5,1.7559785635169503,0.9556477076002494,5.920421427331968e-05,0.6455959880832289,0.8236300113709967,6.077211015316567e-07,6.324590098648907e-06,23.01598373364237
62,-0.2621492594447299,-0.24051441776632387,1693595208.3341577,4,1.7732225249929113e-07,0.7496650005727029,2.3993635975637393e-05,0.6254892063077973,0.9775859727671672,2.6018223741299025,3.071191992630738e-07,2.8972416167843823e-06
63,0.07500981401934526,0.057522741459504645,1693595208.4842043,1,3.961780971576129e-06,0.9045109156981418,0.3753949946715931,0.812485526122626,0.5427303481267423,0.0010303053834065914,0.047286249183562695,1.163139280538284e-07
64,0.06395941031408969,0.056112924926934205,1693595208.6727355,7,66.56543263342442,0.6928085821175387,0.13431084982694574,0.584886107941567,0.631950172451279,1.1209388759881558,0.07005130007606986,0.6606573813203225
65,-0.2623085297361947,-0.24066341563545546,1693595208.8245387,2,24791.670514010802,0.58847650599157,0.03052941212741924,0.6542693939889683,0.7545794627425023,13.961818019804921,0.5991406687643629,0.309256138537302
66,-8.113306764423456e-06,-0.0002036376457108524,1693595208.9762821,2,7446.80702006239,0.9515385626711667,0.8328668451879944,0.5565074902228522,0.6914013306090576,5.6184610930928914e-06,3.0697239102302802,9.804319646400444
67,0.07514581990510927,0.043344112715391625,1693595209.1880367,6,7.527865991315631e-06,0.5241258791333292,0.2539920363569101,0.9742071194101536,0.877338281101191,1.7371632072966694,1.2883015149664502e-05,1.9494232355652268e-07
68,0.08521369655974609,0.06372328552893913,1693595209.3480384,2,5.440527493454344,0.5709377138076687,0.4122699615925319,0.6224553347553458,0.8740327094810996,0.01289524459909386,2.810847939525464e-05,0.02052603157849334
69,-0.20080861589923082,-0.1831391405270204,1693595209.5036256,1,86.68563684556686,0.5859862968586119,0.011535396602868732,0.5588033949378954,0.7851980446849017,0.21704972327571107,0.9243233031720529,2.3045718297606344e-07
70,0.06246765607187876,0.05568811275275409,1693595209.802237,6,0.002205350103022933,0.6995442791639122,0.14233922137157057,0.5938574042690294,0.8807584253317658,0.22800712916698707,0.00016762133893067767,2.3467328543068235e-07
