trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693503526.69470360,0,0,0,0,0,0,0,0,0
0,0.005843204648983247,0.0029613542260413794,1693503526.7933602,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.2252696589563934,-0.22591718219908064,1693503526.8791099,7,19.83635001370407,0.801381688035822,0.005301709347576827,0.7118273996694524,0.8229470565333281,0.00023761404778025518,8.274276086161453,43.31393146405955
2,-0.217353099797021,-0.2180832756390798,1693503526.9647036,5,196.0764769717997,0.7644474598764522,0.006921859910208607,0.9627983191463305,0.5355180290989434,7.435205853060173e-08,1.5928833561691773e-08,2.1193293640885202
3,-0.029313469566293993,-0.029534898532882048,1693503527.0492642,9,2042.4805389740943,0.989309171116382,0.09903593841281125,0.7307396811264659,0.8902645881432277,1.5231555549417795e-07,0.02507322588626923,2.7135190452611025e-07
4,-0.24960035203875686,-0.2502627964092652,1693503527.1410542,11,0.060817446637463725,0.7073309699952618,0.00021027036109989294,0.8871168447171083,0.7280751661082743,0.0048343655749956815,1.541338421512532e-08,0.0150091110454641
5,-0.14586548904878294,-0.14690754127508332,1693503527.230706,7,1.0474708826063404,0.9718740392573121,0.025650834317709894,0.679753950286893,0.7185159768996707,0.09469170997780146,4.001793885336983e-08,0.04652294026285371
6,-0.24878578346364244,-0.24944570495237195,1693503527.3152125,8,5.43216926465056e-06,0.5644631488274267,0.0003776954513878896,0.6818553854713113,0.7850983852089398,0.00024322887698390846,76.51355496738442,1.0482095387452709e-07
7,-0.24973394184062192,-0.25039619419118675,1693503527.4012353,3,1.2503273538796585e-06,0.8265541627326992,0.00018469622232007515,0.7331553864281531,0.6222127960008014,3.8877276777818895e-07,1.2698470419737896e-07,0.03658439644870376
8,-0.011689874758888275,-0.013207616037627101,1693503527.4866784,2,3.593939002435353e-06,0.684362585330482,0.12734038226347197,0.5485506378965306,0.918972453749402,9.140797310621138e-08,58.156016371283684,0.00048586097401978113
9,-0.2506055726846814,-0.2512650316411529,1693503527.5701785,11,0.7294436646019437,0.8696317896991508,1.5701421102720525e-05,0.6414034812882048,0.5600982806065844,9.149597200543702e-06,1.5391366847232682e-07,1.512975146404062e-05
10,-0.21821581950526925,-0.21889646075012292,1693503527.6586425,5,6.822090126012452e-08,0.8462360596850099,0.006807807563467862,0.6326947454697227,0.7616240267333498,8.697713691175405e-08,0.005747314402845941,19.631883842304806
11,-0.11106543191857021,-0.11206772387503539,1693503527.7461786,4,4.746078744454779,0.565898931202196,0.03816242999089968,0.6447030464736005,0.5915956810035584,0.007330428264462487,1.5888227943138278e-08,1.9471539598103378
